episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,eps_greedy_0,eps_greedy_1,eps_greedy_2,collisions_0,collisions_1,collisions_2
0,6,-0.307389055581,-0.307389055581,-8.58960143521,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
1,2,-0.304859989774,-0.304859989774,-25.6550521412,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
2,3,-16.9130864518,-0.246419785116,0.246419785116,-0.333333333333,-0.333333333333,-0.333333333333,0.5,0.5,0.5,0.0,0.0,0.0
3,12,-4.30998542694,-0.143318760273,0.143318760273,-0.0833333333333,-0.0833333333333,-0.0833333333333,0.5,0.5,0.5,0.0,0.0,0.0
4,2,-0.126558015342,-0.126558015342,-25.8756919764,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
5,22,6.70837113092,8.98109840364,-9.07001785294,-0.0454545454545,-0.0454545454545,-0.0454545454545,0.5,0.5,0.5,0.0,2.0,2.0
6,6,-0.251841202693,-8.58517453603,0.251841202693,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
7,8,-6.42804293146,-0.178042931456,0.178042931456,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
8,12,-4.42209112792,-0.255424461255,0.255424461255,-0.0833333333333,-0.0833333333333,-0.0833333333333,0.5,0.5,0.5,0.0,0.0,0.0
9,7,-7.40247164488,-0.259614502027,0.259614502027,-0.142857142857,-0.142857142857,-0.142857142857,0.5,0.5,0.5,0.0,0.0,0.0
10,14,-0.204004051531,-3.77543262296,0.204004051531,-0.0714285714286,-0.0714285714286,-0.0714285714286,0.5,0.5,0.5,0.0,0.0,0.0
11,3,-0.316751533208,-16.9834181999,-17.1824481223,-0.333333333333,-0.333333333333,-0.333333333333,0.5,0.5,0.5,0.0,0.0,0.0
12,17,-3.17693012888,-0.235753658291,0.232082331648,-0.0588235294118,-0.0588235294118,-0.0588235294118,0.5,0.5,0.5,0.0,0.0,0.0
13,9,-0.283080964959,-0.283080964959,-5.97889052059,-0.111111111111,-0.111111111111,-0.111111111111,0.5,0.5,0.5,0.0,0.0,0.0
14,4,-12.6449221799,-0.144922179892,0.144922179892,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
15,5,-10.1276078767,-0.127607876656,0.127607876656,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
16,23,-2.31247972049,-0.138566677012,0.138566677012,-0.0434782608696,-0.0434782608696,-0.0434782608696,0.5,0.5,0.5,0.0,0.0,0.0
17,10,-0.214032197861,-5.21403219786,0.214032197861,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
18,6,-8.55645143858,-0.223118105249,0.223118105249,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
19,29,-0.102067382853,-1.82620531389,0.102067382853,-0.0344827586207,-0.0344827586207,-0.0344827586207,0.5,0.5,0.5,0.0,0.0,0.0
20,10,-0.198640770286,-5.19864077029,0.198640770286,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
21,6,-0.145314743834,-8.47864807717,0.145314743834,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
22,22,4.40766726507,4.40766726507,-6.7288010521,-0.0454545454545,-0.0454545454545,-0.0454545454545,0.5,0.5,0.5,0.0,1.0,1.0
23,23,-0.2253211827,-2.39923422618,0.22024772217,-0.0434782608696,-0.0434782608696,-0.0434782608696,0.5,0.5,0.5,0.0,0.0,0.0
24,6,-0.112237956393,-0.112237956393,-8.46019637628,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
25,7,-7.37889697644,-0.236039833582,0.236039833582,-0.142857142857,-0.142857142857,-0.142857142857,0.5,0.5,0.5,0.0,0.0,0.0
26,4,-12.7648679631,-0.264867963087,0.264867963087,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
27,7,-0.170911088634,-0.170911088634,-7.61100069478,-0.142857142857,-0.142857142857,-0.142857142857,0.5,0.5,0.5,0.0,0.0,0.0
28,6,-8.58400492625,-0.250671592912,0.250671592912,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
29,3,-16.8580453037,-0.191378637009,0.191378637009,-0.333333333333,-0.333333333333,-0.333333333333,0.5,0.5,0.5,0.0,0.0,0.0
30,22,-2.50734131404,-0.234614041315,0.19994655748,-0.0454545454545,-0.0454545454545,-0.0454545454545,0.5,0.5,0.5,0.0,0.0,0.0
31,14,-3.80682486225,-0.235396290817,0.235396290817,-0.0714285714286,-0.0714285714286,-0.0714285714286,0.5,0.5,0.5,0.0,0.0,0.0
32,11,-4.69699969075,-0.151545145295,0.151545145295,-0.0909090909091,-0.0909090909091,-0.0909090909091,0.5,0.5,0.5,0.0,0.0,0.0
33,8,-0.165859326733,-0.165859326733,-6.48412277961,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
34,8,-0.323516652372,-6.57351665237,-6.22605883403,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
35,20,2.36708482862,4.86708482862,-4.86708482862,-0.05,-0.05,-0.05,0.5,0.5,0.5,0.0,1.0,1.0
36,32,3.03256269786,3.03256269786,-4.65510497406,-0.03125,-0.03125,-0.03125,0.5,0.5,0.5,1.0,0.0,1.0
37,4,-0.273554112893,-12.7735541129,0.273554112893,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
38,42,4.67321689278,3.4827407023,-4.67321689278,-0.0238095238095,-0.0238095238095,-0.0238095238095,0.5,0.5,0.5,2.0,0.0,2.0
39,6,-8.58761432331,-0.254280989979,0.254280989979,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
40,11,-0.244977324738,-4.79043187019,0.244977324738,-0.0909090909091,-0.0909090909091,-0.0909090909091,0.5,0.5,0.5,0.0,0.0,0.0
41,1,-0.302532811545,-50.3025328115,0.302532811545,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
42,7,-0.2005462173,-7.34340336016,0.2005462173,-0.142857142857,-0.142857142857,-0.142857142857,0.5,0.5,0.5,0.0,0.0,0.0
43,5,-0.314287688035,-10.314287688,0.314287688035,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
44,6,-0.157654187267,-0.157654187267,-8.36138374754,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
45,10,-0.166137444073,-5.16613744407,0.166137444073,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
46,13,7.50150949263,3.65535564648,-7.51936672628,-0.0769230769231,-0.0769230769231,-0.0769230769231,0.5,0.5,0.5,0.0,1.0,1.0
47,17,-0.101733999905,-3.04291047049,0.101733999905,-0.0588235294118,-0.0588235294118,-0.0588235294118,0.5,0.5,0.5,0.0,0.0,0.0
48,20,-0.18488043594,-0.18488043594,-2.38637509211,-0.05,-0.05,-0.05,0.5,0.5,0.5,0.0,0.0,0.0
49,20,-0.103801649981,-2.60380164998,0.103801649981,-0.05,-0.05,-0.05,0.5,0.5,0.5,0.0,0.0,0.0
